sol,month,min_temp,max_temp,pressure,atmo_opacity
1977,Month 5,-77,-10,727,Sunny
1976,Month 5,-77,-10,728,Sunny
1975,Month 5,-76,-16,729,Sunny
1974,Month 5,-77,-13,729,Rain
1973,Month 5,-78,-18,730,Sunny
1972,Month 5,-78,-14,730,Sunny
1971,Month 5,-78,-13,731,Sunny
1970,Month 5,-77,-16,731,Sunny
1969,Month 5,-76,-16,732,Sunny
1968,Month 5,-76,-19,732,Sunny
1967,Month 5,-76,-15,734,Sunny
1966,Month 5,-77,-18,735,Sunny
1965,Month 5,-76,-12,735,Windy
1964,Month 5,-76,-16,736,Sunny
1963,Month 5,-77,-14,737,Sunny
1962,Month 5,-78,-14,738,Sunny
1961,Month 5,-77,-21,740,Sunny
1960,Month 5,-78,-14,740,Sunny
1959,Month 5,-78,-15,740,Sunny
1958,Month 5,-77,-14,741,Sunny
1957,Month 5,-77,-21,742,Sunny
1956,Month 5,-79,-14,744,Sunny
1955,Month 5,-77,-21,745,Sunny
1954,Month 5,-77,-17,745,Sunny
1953,Month 5,-78,-22,747,Sunny
1952,Month 5,-80,-25,748,Sunny
1951,Month 5,-77,-23,749,Sunny
1950,Month 5,-79,-15,750,Sunny
1949,Month 5,-78,-20,751,Sunny
1948,Month 5,-78,-18,752,Sunny
1947,Month 5,-78,-19,751,Sunny
1946,Month 5,-79,-20,753,Sunny
1945,Month 4,-78,-22,754,Sunny
1944,Month 4,-80,-21,755,Sunny
1943,Month 4,-78,-28,756,Sunny
1942,Month 4,-78,-27,757,Sunny
1941,Month 4,-77,-20,758,Sunny
1940,Month 4,-77,-19,759,Sunny
1939,Month 4,-78,-20,760,Sunny
1938,Month 4,-78,-24,762,Sunny
1937,Month 4,-80,-22,763,Sunny
1936,Month 4,-79,-20,764,Sunny
1935,Month 4,-80,-21,765,Sunny
1934,Month 4,-79,-21,766,Sunny
1933,Month 4,-78,-23,767,Sunny
1932,Month 4,-79,-24,768,Sunny
1931,Month 4,-79,-22,770,Sunny
1930,Month 4,-79,-24,770,Sunny
1929,Month 4,-79,-26,771,Sunny
1928,Month 4,-78,-24,773,Sunny
1927,Month 4,-79,-24,774,Sunny
1926,Month 4,-80,-24,775,Sunny
1925,Month 4,-79,-19,777,Sunny
1924,Month 4,-78,-21,777,Sunny
1923,Month 4,-77,-23,778,Sunny
1922,Month 4,-79,-24,780,Sunny
1921,Month 4,-78,-19,781,Sunny
1920,Month 4,-77,-25,782,Sunny
1919,Month 4,-77,-26,783,Sunny
1918,Month 4,-77,-18,784,Sunny
1917,Month 4,-80,-19,786,Sunny
1916,Month 4,-79,-22,787,Sunny
1915,Month 4,-78,-23,788,Sunny
1914,Month 4,-78,-21,790,Sunny
1913,Month 4,-79,-27,791,Sunny
1912,Month 4,-80,-25,791,Sunny
1911,Month 4,-79,-22,792,Sunny
1910,Month 4,-80,-23,794,Sunny
1909,Month 4,-80,-27,795,Sunny
1908,Month 4,-79,-28,796,Sunny
1907,Month 4,-79,-29,798,Sunny
1906,Month 4,-79,-23,799,Sunny
1905,Month 4,-80,-22,800,Sunny
1904,Month 4,-79,-27,801,Sunny
1903,Month 4,-78,-25,803,Sunny
1902,Month 4,-79,-27,804,Sunny
1901,Month 4,-81,-28,806,Sunny
1900,Month 4,-81,-25,807,Sunny
1899,Month 4,-81,-23,808,Sunny
1898,Month 4,-81,-27,810,Sunny
1897,Month 4,-80,-27,811,Sunny
1896,Month 4,-79,-23,812,Sunny
1895,Month 4,-78,-29,814,Sunny
